time,x,y,z
0,350.095,17.87967,6.095202
0.02,350.095,17.87967,6.095202
0.3333052,350.105,17.87765,6.064442
0.3492974,16.14153,-0.385498,2.224253
0.3551326,15.90354,0.4394861,2.454058
0.3629018,15.87063,0.5011337,2.491033
0.3762543,15.82317,0.552462,2.519248
0.3846999,15.81023,0.6038492,2.538249
0.3956172,15.78117,0.6352627,2.559306
0.4068761,15.7742,0.6709573,2.563179
0.4179691,15.79305,0.7065566,2.558185
0.4291232,15.82442,0.7341334,2.536767
0.440434,15.87392,0.7663624,2.504135
0.4514634,15.94491,0.7840961,2.446765
0.4626685,16.01908,0.808016,2.413165
0.4736188,16.10238,0.8269464,2.383977
0.4849011,16.17225,0.8478498,2.366147
0.4958809,16.24419,0.8757234,2.349827
0.506732,16.3024,0.8893975,2.345383
0.5179476,16.35169,0.9095713,2.341197
0.5294045,16.37086,0.921224,2.35281
0.5400878,16.36422,0.9333627,2.378314
0.5511162,16.36884,0.9354493,2.395269
0.5625145,16.36699,0.9378427,2.421042
0.5731893,16.34763,0.935268,2.443862
0.5845855,16.32727,0.9270549,2.48611
0.5956541,16.30078,0.896432,2.509625
0.606728,16.28639,0.8591654,2.529512
0.6177868,16.24874,0.816089,2.557055
0.6329055,16.21381,0.7595418,2.583929
0.6405843,16.17417,0.7131292,2.5928
0.6649184,16.13243,0.6051257,2.618091
0.6736446,16.13543,0.5659458,2.63508
0.6872847,16.14515,0.5253588,2.667491
0.6959268,16.15809,0.4767193,2.684862
0.7071013,16.17908,0.4516898,2.713693
0.7207661,16.1995,0.4224423,2.753772
0.7295088,16.21667,0.37532,2.795424
0.7406553,16.22827,0.3449822,2.825454
0.7535911,16.22911,0.3243972,2.864625
0.7629952,16.25972,0.2925013,2.893765
0.7740228,16.27222,0.2520003,2.939056
0.7864974,16.30366,0.2352047,2.986291
0.7973852,16.30524,0.2030822,3.002851
0.8076754,16.3106,0.1661311,3.003882
0.8202903,16.32006,0.1444563,3.012811
0.8308491,16.32726,0.120045,3.030274
0.8410975,16.36067,0.08481289,3.030979
0.8535835,16.38696,0.0624478,3.035682
0.8632898,16.41214,0.04168907,3.049791
0.8744865,16.44417,0.02265239,3.050701
0.888236,16.47981,0.01008785,3.031034
0.8978916,16.51826,0.01163553,3.01714
0.9082647,16.55648,-0.0008631467,2.996038
0.9212201,16.58626,0.003406073,2.976915
0.9307353,16.61512,-0.005371741,2.972077
0.9418515,16.63559,-0.001590336,2.960305
0.9557011,16.6478,-0.004888913,2.963996
0.9641271,16.65177,-0.008453369,2.972254
0.9751573,16.64885,-0.004105302,2.98709
0.9877025,16.65144,-0.01263428,2.989319
0.9974552,16.64427,-0.01345825,2.998806
