time,x,y,z
0,348.7057,-11.07324,12.24029
0.02,348.7057,-11.07324,12.24029
0.3533334,348.8166,-11.7146,12.97519
0.3759091,349.0615,-16.40106,20.18525
0.3826721,349.332,-16.37286,19.85057
0.3881992,349.4948,-16.42316,19.63971
0.392495,349.674,-16.45349,19.32586
0.4145994,350.1461,-16.60147,18.48659
0.4367239,350.4055,-16.83878,17.78494
0.4481129,350.3823,-16.90903,17.71374
0.4589475,350.4737,-17.129,17.31106
0.4701763,350.5731,-17.31406,16.87427
0.4819076,350.6393,-17.52002,16.42878
0.4925078,350.719,-17.74808,16.01859
0.5040609,350.8268,-17.94873,15.64732
0.5148556,350.9398,-18.1821,15.33137
0.5256644,351.0346,-18.4108,15.00169
0.5374743,351.0643,-18.65457,14.66309
0.5479189,351.0558,-18.88235,14.26079
0.5588678,350.9889,-19.11655,13.80457
0.5699551,350.8797,-19.35971,13.28548
0.5833626,350.7247,-19.61273,12.72061
0.5925955,350.523,-19.91373,12.1172
0.6175801,350.1947,-20.50284,10.94513
0.625746,350.0755,-20.82361,10.35223
0.6368231,349.9563,-21.14374,9.749893
0.64985,349.8505,-21.45618,9.090929
0.6594358,349.7254,-21.80554,8.400561
0.6705,349.5633,-22.13223,7.679132
0.6829295,349.4303,-22.45703,6.909828
0.6928904,349.3128,-22.80276,6.158113
0.7038515,349.2702,-23.14246,5.401157
0.716431,349.2204,-23.45847,4.660092
0.7266097,349.2019,-23.76453,3.890733
0.7374443,349.1879,-24.06345,3.134093
0.7496887,349.1764,-24.33835,2.439285
0.7598522,349.1505,-24.60141,1.758058
0.7708659,349.0946,-24.82428,1.138314
0.7833119,349.0518,-25.0665,0.5544999
0.7931949,349.0264,-25.24734,0.04744777
0.8042021,349.0307,-25.40567,359.5925
0.8172491,349.0858,-25.53055,359.1778
0.8266054,349.1505,-25.62878,358.7362
0.840283,349.2359,-25.70712,358.2806
0.8493173,349.2931,-25.72464,357.8614
0.860895,349.343,-25.74588,357.4561
0.87364,349.3931,-25.74695,357.0735
0.8827307,349.4674,-25.73642,356.739
0.8938745,349.5538,-25.69995,356.4088
0.9072649,349.6518,-25.63821,356.1327
0.9162096,349.754,-25.57825,355.8754
0.9275628,349.8083,-25.50604,355.591
0.9401633,349.8728,-25.46875,355.334
0.9496318,349.928,-25.40344,355.1046
0.9607857,350.013,-25.34088,354.915
0.9736555,350.1074,-25.27951,354.7169
0.9833168,350.2208,-25.18317,354.5323
0.9943242,350.3276,-25.07614,354.3667
1.007007,350.4182,-24.98685,354.2106
1.0166,350.5052,-24.84848,354.0714
1.028076,350.5722,-24.71832,353.9588
