time,x,y,z
0,3.994092,-0.4037781,357.6703
0.02,3.994092,-0.4037781,357.6703
0.3315784,4.018371,-0.318573,357.6757
0.3488789,2.887222,-2.307648,357.5277
0.355244,3.117145,-2.16037,357.0731
0.3613499,3.12803,-2.129242,357.0781
0.3688259,3.121829,-2.075409,357.0749
0.3801562,3.102967,-2.035034,357.0757
0.39109,3.088378,-1.998779,357.0745
0.4022435,3.078726,-1.961517,357.0672
0.4135291,3.05522,-1.940735,357.0716
0.4242709,3.042316,-1.912537,357.0777
0.4352347,3.036615,-1.89859,357.0736
0.4464747,3.012033,-1.890808,357.0764
0.4577516,3.000329,-1.880859,357.0855
0.4688858,2.983951,-1.874268,357.0986
0.4801585,2.978744,-1.878448,357.1151
0.4917572,2.975066,-1.869232,357.1205
0.5022665,2.97032,-1.880737,357.1401
0.5135469,2.976336,-1.88031,357.1549
0.5247503,2.967372,-1.892487,357.1659
0.5361176,2.966374,-1.918396,357.1684
0.5469766,2.966261,-1.93454,357.1577
0.5589635,2.97027,-1.944794,357.1641
0.5678743,2.973514,-1.962189,357.1649
0.5788711,2.948915,-1.978088,357.1515
0.5899317,2.943299,-2.006165,357.1556
0.6012549,2.929029,-2.014771,357.1523
0.6148692,2.916885,-2.017395,357.1432
0.6237105,2.912477,-2.028381,357.1248
0.6485193,2.877966,-2.028778,357.1076
0.6569701,2.85085,-2.0177,357.0921
0.6679652,2.831962,-2.00116,357.0913
0.6809809,2.808091,-1.995483,357.0835
0.6905331,2.782308,-1.971741,357.096
0.7039764,2.752862,-1.954834,357.0948
0.7128342,2.738168,-1.925476,357.0939
0.7243503,2.71697,-1.896271,357.0866
0.7367077,2.6868,-1.870392,357.0796
0.7462221,2.662931,-1.84552,357.0807
0.7573122,2.640753,-1.814087,357.0963
0.771101,2.61709,-1.795502,357.101
0.7798678,2.609125,-1.780243,357.0897
0.7909167,2.600289,-1.760834,357.087
0.8034003,2.590834,-1.744995,357.0882
0.8133172,2.574934,-1.731812,357.0874
0.8242904,2.573542,-1.717651,357.0824
0.8368106,2.582597,-1.709412,357.0841
0.8464885,2.591924,-1.708405,357.0881
0.8577161,2.605994,-1.703583,357.1145
0.8702616,2.615357,-1.707672,357.1405
0.8812567,2.630103,-1.70697,357.1614
0.8914168,2.647911,-1.731354,357.1785
0.9043319,2.650867,-1.759155,357.2091
0.9138901,2.663718,-1.797211,357.2176
0.9250853,2.664843,-1.820465,357.244
0.9385481,2.684122,-1.881927,357.2646
0.947207,2.690041,-1.939667,357.283
0.9586471,2.673027,-1.997803,357.3274
0.9713104,2.68307,-2.060577,357.3519
0.9807518,2.703182,-2.131744,357.3579
0.9920236,2.731616,-2.208771,357.3585
1.005168,2.756494,-2.266266,357.3792
1.014245,2.791992,-2.348785,357.4118
1.025795,2.841535,-2.421295,357.4462
1.039329,2.871148,-2.491272,357.4874
1.048053,2.919995,-2.57309,357.5183
1.05918,2.97578,-2.638306,357.5527
1.07184,3.036889,-2.730377,357.5868
1.081453,3.093286,-2.82077,357.6095
1.092796,3.150125,-2.9086,357.6426
1.105274,3.189376,-3.002289,357.6829
1.115625,3.219672,-3.089081,357.7336
1.126038,3.261031,-3.187317,357.7732
1.138927,3.292856,-3.28891,357.818
1.148767,3.325644,-3.409576,357.8682
1.159717,3.360883,-3.529083,357.9067
1.172433,3.390437,-3.668396,357.9366
1.182009,3.438866,-3.811798,357.9628
1.193063,3.471884,-3.970734,357.9838
1.205814,3.512405,-4.137024,357.9947
1.215717,3.54029,-4.321747,358.026
1.226588,3.572923,-4.515381,358.0535
1.239312,3.592897,-4.741699,358.0807
1.248901,3.622768,-5.014984,358.0922
1.260017,3.657114,-5.333435,358.1015
1.27358,3.708548,-5.702606,358.0855
1.282517,3.752809,-6.098236,358.0651
1.293452,3.81069,-6.484711,358.056
1.306208,3.865952,-6.868683,358.0381
1.315936,3.913007,-7.246094,358.0375
1.326988,3.975864,-7.595276,358.0356
1.339625,4.018317,-7.940308,358.0362
1.349394,4.066369,-8.278259,358.056
1.360932,4.123229,-8.611359,358.0731
1.373186,4.194488,-8.944031,358.0779
1.384331,4.267684,-9.269714,358.0972
1.394193,4.369116,-9.600616,358.1067
1.407057,4.473338,-9.936066,358.0997
1.417457,4.603302,-10.25528,358.0945
1.427934,4.752554,-10.57059,358.0682
1.440678,4.889421,-10.86148,358.0437
1.45028,5.038384,-11.15903,358.0061
1.461251,5.169703,-11.43112,357.96
1.474302,5.294347,-11.6712,357.9144
1.483584,5.419466,-11.905,357.8616
1.494808,5.556237,-12.13687,357.8036
1.507651,5.710523,-12.36752,357.7349
1.517059,5.861192,-12.60361,357.641
1.5283,6.001657,-12.84375,357.5464
1.541268,6.105758,-13.08136,357.4606
1.55063,6.190227,-13.30493,357.3985
1.561728,6.203248,-13.50989,357.3667
1.5747,6.208771,-13.69534,357.3334
1.584107,6.212048,-13.86017,357.2904
1.595566,6.22889,-14.02054,357.2659
1.608412,6.244535,-14.15848,357.2417
1.619154,6.241566,-14.30005,357.2212
1.628583,6.252895,-14.41727,357.2187
1.641993,6.247633,-14.56155,357.1892
1.651157,6.248878,-14.67526,357.2003
1.662241,6.248642,-14.77829,357.2134
1.67503,6.247773,-14.86124,357.2102
1.684477,6.236599,-14.93747,357.183
1.69561,6.223411,-14.99933,357.163
1.70879,6.226817,-15.06161,357.1549
1.718135,6.22371,-15.10422,357.1553
1.729184,6.2279,-15.15924,357.1597
1.742395,6.238841,-15.21671,357.1526
1.751578,6.260093,-15.26773,357.1258
1.76285,6.266699,-15.3244,357.0941
1.775646,6.288208,-15.36462,357.0737
1.785103,6.293846,-15.38559,357.0593
1.796324,6.327296,-15.42282,357.0406
1.809072,6.359857,-15.42792,357.0409
1.818446,6.375719,-15.43149,357.0389
1.830705,6.426697,-15.4234,357.0296
1.842758,6.464728,-15.39691,357.0318
1.852239,6.537452,-15.36917,357.0191
1.863318,6.597205,-15.3392,357.0151
1.875949,6.664384,-15.3049,357.0027
1.886821,6.738366,-15.26663,357.0046
1.897172,6.809038,-15.20642,357.0043
1.90947,6.893011,-15.16425,356.9979
1.919357,6.967404,-15.13052,357.0008
1.930474,7.045457,-15.09088,356.9957
1.943569,7.121585,-15.04541,357.0042
1.952659,7.201583,-15.00049,357.0005
1.963722,7.26874,-14.9566,356.99
1.976925,7.356638,-14.91208,356.9842
1.986123,7.443852,-14.8772,356.9921
1.997162,7.533498,-14.82587,356.9944
2.009917,7.600531,-14.78455,357.0182
2.020102,7.684349,-14.74039,357.0326
2.03091,7.758061,-14.71231,357.0567
