time,x,y,z
0,2.748886,-5.932434,1.667665
0.02,2.748886,-5.932434,1.667665
0.3399198,2.748031,-5.943909,1.666175
0.3587322,10.85988,-14.21051,5.800113
0.3628228,17.30733,-20.57037,7.79644
0.3737346,17.53327,-20.89771,7.876301
0.3873937,17.74491,-21.22186,7.965405
0.3959453,17.92147,-21.52206,8.033732
0.4090945,18.11503,-21.82132,8.13292
0.4179394,18.24049,-22.09561,8.208488
0.4289789,18.37495,-22.38492,8.28442
0.4399169,18.51683,-22.64682,8.38756
0.451269,18.62551,-22.88495,8.495392
0.4621757,18.74853,-23.1062,8.585414
0.4732579,18.86456,-23.32019,8.65892
0.4848053,18.96953,-23.51151,8.742139
0.4957823,19.05707,-23.68036,8.835635
0.5197973,19.1391,-23.84381,8.924007
0.5257265,19.20048,-23.99088,9.01105
0.5324597,19.24209,-24.12491,9.099013
0.5402767,19.23655,-24.24841,9.149416
0.5515828,19.23774,-24.36557,9.195467
0.5626094,19.22291,-24.47934,9.225226
0.5740492,19.21122,-24.5809,9.266339
0.5851176,19.20763,-24.68277,9.311055
0.59607,19.19143,-24.7594,9.367906
0.6075065,19.18865,-24.83783,9.434144
0.6212046,19.18749,-24.89117,9.507423
0.6301535,19.17144,-24.94891,9.586185
0.6493021,19.13419,-24.98077,9.666954
0.6597353,19.09141,-25.05585,9.795644
0.6705552,19.0522,-25.07709,9.872833
0.6843317,19.00689,-25.08475,9.959565
0.6928245,18.97867,-25.0957,10.07172
0.7040513,18.93409,-25.12796,10.16785
0.7172169,18.88657,-25.1579,10.23812
0.7265513,18.82941,-25.18848,10.29137
0.7374908,18.75972,-25.21417,10.3472
0.7505167,18.68459,-25.24829,10.40004
0.7599199,18.60199,-25.2861,10.44857
0.7707503,18.52799,-25.30621,10.51259
0.7832745,18.46604,-25.35181,10.5606
0.7931485,18.40438,-25.36258,10.6215
0.8042755,18.36344,-25.39597,10.66307
0.8166738,18.29566,-25.41269,10.71762
0.8268718,18.23346,-25.44562,10.76553
0.8376817,18.17755,-25.46432,10.80903
0.8510042,18.13433,-25.47546,10.85477
0.8604495,18.07366,-25.50626,10.89616
0.8716744,18.01759,-25.52777,10.92667
0.8852328,17.94817,-25.55325,10.96222
0.8940113,17.88029,-25.57214,10.99062
0.9050851,17.80423,-25.59225,11.01504
0.9176532,17.72726,-25.58969,11.04178
0.9274181,17.64789,-25.61389,11.07025
0.9387765,17.57571,-25.61902,11.09833
0.9521705,17.50671,-25.6221,11.13106
0.9611483,17.45029,-25.60822,11.15313
0.9719907,17.40208,-25.60843,11.17373
0.9847952,17.35133,-25.58969,11.21061
0.994409,17.30946,-25.57562,11.2342
1.005403,17.26223,-25.56592,11.25277
1.018371,17.21663,-25.54718,11.27578
1.028279,17.16088,-25.53729,11.28729
1.038984,17.13305,-25.50067,11.30086
1.051607,17.09708,-25.5058,11.30978
1.061756,17.05861,-25.49991,11.32318
1.07261,17.02476,-25.51157,11.32495
1.085096,16.98997,-25.5015,11.3559
1.095484,16.94614,-25.49225,11.36239
1.107563,16.92106,-25.48517,11.3839
1.119323,16.90502,-25.46841,11.40166
1.128542,16.86849,-25.46259,11.41491
1.139587,16.85885,-25.44257,11.42077
1.153327,16.83602,-25.4201,11.43505
1.162155,16.83444,-25.42181,11.42099
1.172911,16.84992,-25.40686,11.41783
1.186392,16.85523,-25.38599,11.41333
1.19552,16.88634,-25.37476,11.41027
1.206472,16.92937,-25.34998,11.39969
1.219852,16.98223,-25.32932,11.39698
1.229025,17.0528,-25.31131,11.37258
1.239964,17.11299,-25.28241,11.35103
1.25277,17.20524,-25.26059,11.32857
1.263147,17.28755,-25.23169,11.32358
1.276097,17.37018,-25.21024,11.30074
1.284626,17.44873,-25.18057,11.29173
1.295889,17.50367,-25.15729,11.29692
1.306974,17.56828,-25.13947,11.28511
1.319739,17.6296,-25.12167,11.27928
1.329872,17.68519,-25.12076,11.26498
1.340703,17.74771,-25.09738,11.2175
1.353288,17.82245,-25.08051,11.15876
1.363053,17.89709,-25.05527,11.12155
1.374616,17.95092,-25.03485,11.08705
1.387894,17.99237,-25.00275,11.07205
1.396675,18.05616,-24.97906,11.03077
1.410048,18.10489,-24.9458,10.99946
1.418712,18.1507,-24.90561,10.9718
1.429983,18.18113,-24.8689,10.92679
1.442525,18.20382,-24.83984,10.87752
1.452094,18.22407,-24.78241,10.84186
1.463594,18.23788,-24.7485,10.80413
1.476033,18.23531,-24.68475,10.77904
1.485837,18.22908,-24.62964,10.75331
1.496745,18.21706,-24.57028,10.74059
1.509483,18.18441,-24.50647,10.72424
1.519242,18.11849,-24.43091,10.67607
1.530223,18.06121,-24.36389,10.64297
1.542831,17.96287,-24.28824,10.58938
1.552974,17.85261,-24.18225,10.54312
1.564075,17.71227,-24.08374,10.48739
1.576792,17.52642,-23.98718,10.43717
1.586978,17.30145,-23.87485,10.4075
1.59735,17.07236,-23.73257,10.37687
1.609949,16.78071,-23.5701,10.34126
1.619876,16.482,-23.38678,10.28329
1.630988,16.17653,-23.16788,10.23039
1.643517,15.86131,-22.97205,10.17237
1.653287,15.53193,-22.75174,10.11921
1.664708,15.20144,-22.51004,10.08314
1.677971,14.84561,-22.2695,10.02384
1.686905,14.48115,-22.02496,9.949478
1.697807,14.0927,-21.75323,9.8946
1.710886,13.6809,-21.47809,9.821758
1.720246,13.27061,-21.19916,9.76841
1.73141,12.88082,-20.91705,9.730833
1.744563,12.5339,-20.64844,9.69227
1.75394,12.18076,-20.36563,9.664279
1.76498,11.85557,-20.09479,9.610548
1.778116,11.51097,-19.8143,9.551278
1.78716,11.14785,-19.52859,9.492138
1.79879,10.7649,-19.27414,9.41145
1.811386,10.36656,-19.01245,9.352253
1.82085,9.966485,-18.7579,9.27094
1.832542,9.563504,-18.51855,9.182024
1.844433,9.194606,-18.26736,9.101222
1.854412,8.814857,-18.03168,9.011656
1.865462,8.437344,-17.79501,8.932474
1.878328,8.051506,-17.53894,8.848901
1.889113,7.670898,-17.29053,8.76982
1.899206,7.306896,-17.03,8.692963
1.911807,6.972933,-16.78842,8.627333
1.921426,6.652511,-16.52222,8.56883
1.932383,6.323701,-16.272,8.493674
1.946292,5.999497,-15.99591,8.391304
1.954699,5.623734,-15.71347,8.286661
1.966062,5.257373,-15.42838,8.181918
1.978611,4.886381,-15.14053,8.116155
1.988373,4.527296,-14.86484,8.054445
1.999682,4.205162,-14.59094,8.018342
2.012209,3.905321,-14.30865,7.985356
2.021885,3.628486,-14.04578,7.912577
2.03301,3.363386,-13.77133,7.835215
2.046133,3.115052,-13.49493,7.719897
2.055632,2.840687,-13.2121,7.608078
2.066617,2.604067,-12.92059,7.469839
2.079525,2.378399,-12.62347,7.337676
2.088738,2.177572,-12.33456,7.198276
2.099886,1.999752,-12.04153,7.091618
2.112661,1.83013,-11.74115,6.99823
2.12295,1.672559,-11.45895,6.914805
2.133551,1.493396,-11.17667,6.846685
2.146216,1.356025,-10.88803,6.783703
2.155936,1.211966,-10.61292,6.720004
2.168306,1.052073,-10.34903,6.642224
2.180219,0.8914317,-10.10379,6.564802
2.189476,0.6999995,-9.845825,6.471932
2.200533,0.5207488,-9.618286,6.369867
2.213772,0.3302175,-9.391418,6.274004
2.222983,0.157888,-9.17749,6.174019
2.23411,0.0003740596,-8.950287,6.062461
2.247223,359.8689,-8.738861,5.944798
2.256632,359.7742,-8.537292,5.823977
2.267778,359.7107,-8.351288,5.733958
2.280853,359.6574,-8.170349,5.64415
2.290056,359.6496,-7.986206,5.536807
2.300944,359.6656,-7.811462,5.445503
2.314328,359.7099,-7.637146,5.352256
2.325075,359.7692,-7.473083,5.250742
2.334545,359.8164,-7.317139,5.157324
2.347568,359.8693,-7.169861,5.060338
2.356935,359.8988,-7.025238,4.96559
2.368634,359.9323,-6.889038,4.892833
2.381115,359.9474,-6.753754,4.808657
2.391766,359.9602,-6.646484,4.737422
2.401457,359.9713,-6.546112,4.66608
2.414746,0.0003252077,-6.44928,4.604093
2.423878,0.02938852,-6.345093,4.548769
2.43512,0.06424426,-6.272522,4.488854
2.448019,0.09081659,-6.189819,4.426584
2.459122,0.1337013,-6.12381,4.383226
2.468759,0.1733711,-6.069763,4.357842
2.481744,0.210095,-6.051544,4.350338
2.491159,0.2510107,-6.030518,4.330301
2.502493,0.3059929,-6.006866,4.295917
2.515144,0.3564585,-6.018066,4.241366
2.524526,0.391274,-6.032501,4.214691
2.535665,0.4262222,-6.066071,4.19886
2.5485,0.4495128,-6.088501,4.179868
2.558294,0.4797896,-6.142242,4.180997
2.56918,0.5049883,-6.182404,4.194925
2.582228,0.5286142,-6.223328,4.212512
2.591848,0.5626512,-6.279175,4.264769
2.602824,0.5992787,-6.326874,4.295516
2.615346,0.645919,-6.39267,4.338464
2.624878,0.71057,-6.440857,4.388781
2.636203,0.7693349,-6.492584,4.441859
2.648863,0.8266452,-6.559937,4.484763
2.662242,0.9029605,-6.639557,4.530931
2.673457,0.972813,-6.699249,4.561811
2.686573,1.048576,-6.770477,4.587041
2.696029,1.138054,-6.841736,4.640018
2.706856,1.231064,-6.925079,4.674086
2.719896,1.328714,-7.011444,4.695969
2.72936,1.417422,-7.115601,4.733399
2.740304,1.527604,-7.213531,4.759583
2.753733,1.63784,-7.322144,4.781589
2.762895,1.733718,-7.436432,4.789124
2.773995,1.851717,-7.570343,4.814907
2.78748,1.960962,-7.714325,4.8262
2.796368,2.076299,-7.868347,4.826867
